target,model,r2,rmse
co2_emissions_ton,fixed_effects,0.4322381864519388,0.1628865978935772
ghg_emissions_ton,fixed_effects,0.26214359128964193,0.1464866402147272
nox_emissions_ton,fixed_effects,0.5671089072417916,0.16743158197937477
pm25_emissions_ton,fixed_effects,0.016109302238151102,0.2735564105755502
