city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,78.86454191664163,1,14.5,0.9792404089367144
Cape Town,3,-10.413928147765496,2,9.666666666666666,0.8960232824343293
Hyderabad,3,47.71101508263111,2,9.666666666666666,0.9324823520520572
Kingston,2,54.50706275603923,1,14.5,0.9706644479349558
London,2,21.268914309047886,1,14.5,0.9612814009302387
Marseille,3,64.7625072568946,2,9.666666666666666,0.9391283389136175
New York City,2,68.8305576268321,1,14.5,0.9738077150199431
Oslo,2,73.95186191835204,2,9.666666666666666,0.9257901311166964
Rome,3,34.308845498721325,2,9.666666666666666,0.9197591830007065
Toronto,2,64.12703741726108,2,9.666666666666666,0.9251889313721673
