city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,47.980155586148186,1,14.5,0.9726693426873501
Cape Town,3,15.516783266470995,2,9.666666666666666,0.8903314351209485
Hyderabad,3,47.406202860880654,2,9.666666666666666,0.9017171148386915
Kingston,2,52.534149273308984,1,14.5,0.9724203004828975
London,3,62.936076343503785,2,9.666666666666666,0.9314345202348054
Marseille,2,62.746477423844354,1,14.5,0.970546823583694
New York City,3,-15.96393771951253,2,9.666666666666666,0.9327710166614659
Oslo,2,62.798721130557496,2,9.666666666666666,0.926578433081138
Rome,2,70.48025241871186,1,14.5,0.9723017481086695
Toronto,3,17.52637594711812,2,9.666666666666666,0.9170642134914747
